Date,Close,Volumen
02/01/2012,2.45,6622
03/01/2012,2.45,10629
04/01/2012,2.47,1745
05/01/2012,2.47,2543
06/01/2012,2.47,11207
09/01/2012,2.52,38554
10/01/2012,2.55,3039
11/01/2012,2.6,35946
12/01/2012,2.55,4304
13/01/2012,2.55,2627
16/01/2012,2.5,3759
17/01/2012,2.53,26073
18/01/2012,2.5,19994
19/01/2012,2.5,11176
20/01/2012,2.45,5508
23/01/2012,2.6,12822
24/01/2012,2.6,12122
25/01/2012,2.62,3578
26/01/2012,2.53,5729
27/01/2012,2.5,9497
30/01/2012,2.55,17297
31/01/2012,2.5,22577
01/02/2012,2.55,17305
02/02/2012,2.56,5198
03/02/2012,2.6,61631
06/02/2012,2.58,9982
07/02/2012,2.55,7600
08/02/2012,2.58,7450
09/02/2012,2.58,3020
10/02/2012,2.48,22521
13/02/2012,2.35,80061
14/02/2012,2.4,19345
15/02/2012,2.4,15041
16/02/2012,2.4,10854
17/02/2012,2.4,13008
20/02/2012,2.4,2008
21/02/2012,2.45,2759
22/02/2012,2.4,3329
23/02/2012,2.4,5386
24/02/2012,2.4,3197
27/02/2012,2.4,4349
28/02/2012,2.45,27241
29/02/2012,2.39,5967
01/03/2012,2.37,13800
02/03/2012,2.36,64407
05/03/2012,2.4,7550
06/03/2012,2.4,7799
07/03/2012,2.36,13500
08/03/2012,2.36,3000
09/03/2012,2.3,42696
12/03/2012,2.3,16781
13/03/2012,2.31,79377
14/03/2012,2.35,7713
15/03/2012,2.3,8833
16/03/2012,2.35,4348
19/03/2012,2.35,10304
20/03/2012,2.35,5530
21/03/2012,2.33,12644
22/03/2012,2.25,21307
23/03/2012,2.2,35924
26/03/2012,2.1,77202
27/03/2012,2.2,15980
28/03/2012,2.25,20280
29/03/2012,2.15,5200
30/03/2012,2.18,13321
02/04/2012,2.25,9205
03/04/2012,2.29,47370
04/04/2012,2.2,7802
09/04/2012,2.26,25865
10/04/2012,2.2,15561
11/04/2012,2.25,12637
12/04/2012,2.25,6880
13/04/2012,2.25,5470
16/04/2012,2.25,20885
17/04/2012,2.3,15627
18/04/2012,2.3,10335
19/04/2012,2.25,4402
20/04/2012,2.25,25081
23/04/2012,2.25,3137
24/04/2012,2.25,3554
25/04/2012,2.2,13106
26/04/2012,2.11,30659
27/04/2012,2.12,17512
30/04/2012,2.1,10498
02/05/2012,2.1,9174
03/05/2012,2.05,22472
04/05/2012,2.05,4588
07/05/2012,2.1,11319
08/05/2012,2.1,5209
09/05/2012,2.05,25720
10/05/2012,2.05,76675
11/05/2012,2.1,3207
14/05/2012,2.03,10346
15/05/2012,2.02,58710
16/05/2012,2.01,7481
17/05/2012,2,5106
18/05/2012,1.91,18888
21/05/2012,1.95,20924
22/05/2012,2.05,28939
23/05/2012,2.09,11452
24/05/2012,2,48868
25/05/2012,2.05,9980
28/05/2012,2.1,5108
29/05/2012,2.15,51456
30/05/2012,2.2,13442
31/05/2012,2.25,13770
