Id_Cliente,Edad,Nivel_Educacional,Años_Trabajando,Ingresos,Deuda_Comercial,Deuda_Credito,Otras_Deudas,Ratio_Ingresos_Deudas,Default
1,28,Med,2,24,3.7,0.34,0.55,0.19,0
2,20,SupInc,0,19,4.5,0.35,0.51,0.28,1
3,30,Bas,13,42,15.3,0.94,5.48,0.52,1
4,41,Med,9,68,28.3,4.52,14.72,0.7,0
5,18,Med,0,17,11.9,0.17,1.86,0.82,0
6,30,Posg,2,21,10.4,1.16,1.03,0.6,0
7,32,Bas,5,35,5.8,0.58,1.45,0.22,1
8,35,Med,15,30,21.3,1.28,5.11,0.92,1
9,56,Med,37,160,11.4,6.77,11.47,0.19,1
10,22,Bas,1,19,8.9,0.49,1.2,0.56,1
11,27,Med,4,32,6.7,0.56,1.59,0.28,0
12,30,SupInc,4,39,11.6,1.39,3.13,0.41,1
13,47,Med,23,46,11.7,0.84,4.54,0.37,1
14,25,SupCom,0,42,14.3,0.76,5.24,0.48,0
15,27,SupInc,0,28,4.7,0.39,0.93,0.22,1
16,75,Bas,32,78,4.4,0.69,2.74,0.1,1
17,25,SupInc,2,26,11.9,1.24,1.86,0.58,0
18,43,SupInc,13,71,4.2,1.41,1.57,0.1,1
19,25,Med,1,20,2.5,0.17,0.33,0.15,1
20,44,SupInc,6,39,8.9,1.82,1.65,0.32,0
21,43,SupInc,0,31,2.4,0.28,0.46,0.1,1
22,44,Med,7,59,8.4,1.77,3.19,0.23,1
23,18,Med,0,15,7.4,0.83,0.28,0.57,0
24,27,Bas,7,43,10,1.2,3.1,0.33,1
25,36,Med,10,77,11.3,1.5,7.2,0.26,0
26,47,Med,6,75,15.2,2.93,8.47,0.35,1
27,19,Med,0,21,2,0.28,0.14,0.12,0
28,24,SupCom,0,64,13,3.98,4.34,0.33,0
29,42,SupCom,6,49,14.7,2.85,4.36,0.45,1
30,22,SupCom,0,19,7.4,0.78,0.63,0.46,0
31,75,SupCom,50,460,19.6,26.69,63.47,0.24,0
32,41,Med,21,189,6.3,6.22,5.69,0.1,1
33,25,Bas,2,30,22.4,0.76,5.96,0.97,0
34,37,SupInc,4,53,15.5,1.27,6.95,0.45,1
35,37,Bas,11,34,13.6,2.98,1.65,0.54,1
36,23,SupInc,1,63,16.8,3.14,7.44,0.43,0
37,29,SupInc,3,74,3.6,0.58,2.08,0.08,1
38,21,Med,1,43,14.1,3.38,2.69,0.47,0
39,21,SupInc,0,35,22.7,2.13,5.82,0.88,0
40,34,Med,6,27,6.4,0.27,1.46,0.3,1
41,23,SupInc,1,22,14.2,1.56,1.56,0.79,0
42,19,Med,0,19,5.4,0.37,0.65,0.34,0
43,20,Med,0,23,23.6,3.54,1.89,1.26,0
44,39,Med,17,90,6.8,3.45,2.67,0.14,1
45,19,Med,0,30,24.3,0.53,6.76,1.05,0
46,22,SupInc,0,24,5.2,0.28,0.97,0.27,0
47,36,Posg,7,124,1.4,0.38,1.35,0.03,1
48,33,Med,3,33,5.1,0.9,0.79,0.21,1
49,23,Med,2,24,1.6,0.05,0.34,0.08,1
50,52,Bas,30,125,15.7,8.32,11.3,0.28,1
51,23,SupCom,0,118,6.4,0.29,7.26,0.12,1
52,58,Med,9,51,4.4,0.64,1.6,0.13,1
53,33,SupInc,3,46,3.8,0.41,1.34,0.12,1
54,19,Med,0,37,3,0.21,0.9,0.11,1
55,61,SupInc,20,38,3.2,0.35,0.87,0.12,1
56,30,Bas,13,38,4.6,0.34,1.41,0.17,1
57,38,SupCom,13,204,19.5,15.43,24.35,0.29,0
58,20,SupInc,0,22,5.1,0.36,0.76,0.28,0
59,56,Bas,3,38,18.7,3.72,3.39,0.68,0
60,36,SupInc,7,118,11.2,8.48,4.73,0.21,0
61,37,Posg,1,90,1.8,0.25,1.37,0.04,1
62,61,SupCom,23,81,8.9,1.7,5.51,0.2,1
63,26,Med,1,26,11.1,1.69,1.19,0.54,0
64,31,Bas,5,27,4.2,0.56,0.57,0.2,1
65,34,Posg,5,186,11.3,7.46,13.56,0.17,0
66,23,SupInc,0,30,6.9,0.55,1.52,0.3,1
67,19,Med,0,36,6.7,0.89,1.52,0.25,1
68,18,Med,0,14,4.3,0.15,0.45,0.35,1
69,25,SupCom,0,52,4.9,0.67,1.88,0.14,0
70,37,Med,17,123,10.6,3.89,9.15,0.19,1
71,63,SupInc,8,92,5.6,0.89,4.27,0.12,1
72,30,SupCom,1,73,29.8,7.05,14.71,0.71,0
73,23,SupInc,0,16,7.8,0.35,0.9,0.57,1
74,21,Med,2,23,3.5,0.25,0.55,0.19,1
75,23,SupCom,0,23,18,0.51,3.63,0.96,0
76,24,Bas,6,36,13.2,1.92,2.83,0.5,1
77,54,Bas,13,105,13.6,1.63,12.65,0.27,1
78,19,Med,0,28,9.1,0.87,1.68,0.42,0
79,30,Med,5,39,13.8,0.55,4.83,0.49,1
