,show_id,cast
0,s1,
1,s2,Ama Qamata
2,s2, Khosi Ngema
3,s2, Gail Mabalane
4,s2, Thabang Molaba
5,s2, Dillon Windvogel
6,s2, Natasha Thahane
7,s2, Arno Greeff
8,s2, Xolile Tshabalala
9,s2, Getmore Sithole
10,s2, Cindy Mahlangu
11,s2, Ryle De Morny
12,s2, Greteli Fincham
13,s2, Sello Maake Ka-Ncube
14,s2, Odwa Gwanya
15,s2, Mekaila Mathys
16,s2, Sandi Schultz
17,s2, Duane Williams
18,s2, Shamilla Miller
19,s2, Patrick Mofokeng
20,s3,Sami Bouajila
21,s3, Tracy Gotoas
22,s3, Samuel Jouy
23,s3, Nabiha Akkari
24,s3, Sofia Lesaffre
25,s3, Salim Kechiouche
26,s3, Noureddine Farihi
27,s3, Geert Van Rampelberg
28,s3, Bakary Diombera
29,s4,
30,s5,Mayur More
31,s5, Jitendra Kumar
32,s5, Ranjan Raj
33,s5, Alam Khan
34,s5, Ahsaas Channa
35,s5, Revathi Pillai
36,s5, Urvi Singh
37,s5, Arun Kumar
38,s6,Kate Siegel
39,s6, Zach Gilford
40,s6, Hamish Linklater
41,s6, Henry Thomas
42,s6, Kristin Lehman
43,s6, Samantha Sloyan
44,s6, Igby Rigney
45,s6, Rahul Kohli
46,s6, Annarah Cymone
47,s6, Annabeth Gish
48,s6, Alex Essoe
49,s6, Rahul Abburi
50,s6, Matt Biedel
51,s6, Michael Trucco
52,s6, Crystal Balint
53,s6, Louis Oliver
54,s7,Vanessa Hudgens
55,s7, Kimiko Glenn
56,s7, James Marsden
57,s7, Sofia Carson
58,s7, Liza Koshy
59,s7, Ken Jeong
60,s7, Elizabeth Perkins
61,s7, Jane Krakowski
62,s7, Michael McKean
63,s7, Phil LaMarr
64,s8,Kofi Ghanaba
65,s8, Oyafunmike Ogunlano
66,s8, Alexandra Duah
67,s8, Nick Medley
68,s8, Mutabaruka
69,s8, Afemo Omilami
70,s8, Reggie Carter
