ID,address,price,neighbourhood,style, bedrooms, bathrooms,Levels,area,year,property_type,area_with_garden
421554,302-8235 rue George,360,Lasalle,2 Storey,3,2,2,1287,2007,house,1364.22
578750,7317 avenue Rosaire Gendron,480,Lasalle,2 Storey,4,3,2,1485.42,2012,house,1693.3788
716995,4713 rue cartier,749,Le plateau mont-royal,2 storey,3,2,2,1620,1912,house,1684.8
691475,5806 rue des Roses,339,North Montreal,2 storey,3,2,2,1080,1964,house,1101.6
653638,7920 Chemin Mackle,525,Cote-Saint-Luc,Detached,4,3,1,1300,1960,house,1768
711418,6612 chemin Merton,665,Cote-Saint-Luc,Detached,4,2,2,4929.87,1957,house,6014.4414
624182,5577 avenue Rosedale,788,Cote-Saint-Luc,Detached,5,3,2,7299.01,1956,house,9196.7526
714354,3320 Lepailleur,349,Mercier / Hochelaga / Maisonneuve,Detached,3,2,1,1573,1952,house,2013.44
716410,1970 rue Lepailleur,379,Mercier / Hochelaga / Maisonneuve,Detached,4,2,1,947,1951,house,1231.1
715056,2981 rue Lyall,425,Mercier / Hochelaga / Maisonneuve,Detached,1,1,1,977.9,1955,house,1271.27
714096,3300 Monsabr_,450,Mercier / Hochelaga / Maisonneuve,Detached,5,1,1,1080,1940,apartment,1296
705869,2290 chemin Kildare,1195,mont-royal,Detached,3,2,3,1800,1956,apartment,1944
465092,5-40706 boulevard L_ger,189,North Montreal,Detached,2,1,1,925.7,2008,apartment,1258.952
710671,61605025 rue Pare,263,Céte-des-Neiges / Notre-Dame-de-Gr_ce,Divided Co-ownership,2,1,8,854.65,2009,apartment,1145.231
700889,"1,5549 chemin queen mary",399,Cote-Saint-Luc,Divided Co-ownership,2,1,1,1107,1932,apartment,1151.28
716421,308-288 rue Ann,239,Griffintown,Divided Co-ownership,1,1,1,550,2013,apartment,649
618016,213-377 rue des Seigneurs,319,Griffintown,Divided Co-ownership,1,1,1,690,2013,apartment,897
713480,722-225 Rue de la Montagne,392,Griffintown,Divided Co-ownership,2,1,1,744,2012,apartment,982.08
706975,206-9125 rue airlie,275,Lasalle,Divided Co-ownership,2,1,1,1137,2012,apartment,1409.88
558737,9895 boulevard lasalle,338,Lasalle,Divided Co-ownership,2,1,3,1098,2005,apartment,1449.36
421962,206-1801 rue Senkus,348,Lasalle,Divided Co-ownership,2,1,4,1013,2007,apartment,1397.94
641529,6837 rue Marie-guyart,355,Lasalle,Divided Co-ownership,3,1,2,1385,2004,apartment,1883.6
655546,161 68e avenue,365,Lasalle,Divided Co-ownership,3,1,1,1301,2013,apartment,1353.04
678870,5455 rue saint-and_,339,Le plateau mont-royal,Divided Co-ownership,2,1,1,980,2003,apartment,1332.8
713812,2040 Saint-Cl_ment,225,Mercier / Hochelaga / Maisonneuve,Divided Co-ownership,2,1,1,750,1910,apartment,870
705279,108-7705 rue Sherbrooke Est,270,Mercier / Hochelaga / Maisonneuve,Divided Co-ownership,2,1,1,920,2003,apartment,1012
712388,2223-2225 Beaurivage,338,Mercier / Hochelaga / Maisonneuve,Divided Co-ownership,5,2,2,1724.38,1925,apartment,1965.7932
715246,4798-4802 Adam,625,Mercier / Hochelaga / Maisonneuve,Divided Co-ownership,3,1,3,1860,2016,apartment,1971.6
713812,2040 rue Saint-Cl_ment,2245,Mercier / Hochelaga / Maisonneuve,Divided Co-ownership,2,1,1,750,1910,apartment,810
354943,5-1270 chemin regent,335,mont-royal,Divided Co-ownership,2,1,3,915,1944,apartment,1244.4
696970,609-6501 Boulevard Maurice Duplessis,229,North Montreal,Divided Co-ownership,2,1,1,899.86,2013,apartment,1025.8404
602000,502-6501 boulevard Maurice Duplessis,238,North Montreal,Divided Co-ownership,2,1,1,927,2013,apartment,1149.48
394757,301-6080 rue Renoir,290,North Montreal,Divided Co-ownership,2,1,3,1175,1976,apartment,1551
709588,950 Av Champagneur,455,Outremont,Divided Co-ownership,2,1,1,1145,2012,apartment,1328.2
710673,681 Av Bloomfield,519,Outremont,Divided Co-ownership,2,1,1,1125,1925,apartment,1350
716424,1530 Av Bernard Ouest,560,Outremont,Divided Co-ownership,2,1,1,1194,1927,apartment,1217.88
710475,1530 Av Bernard,568,Outremont,Divided Co-ownership,2,1,1,1420,1927,apartment,1704
