title,platform,release_year,genre,publisher,sales_na,sales_eu,sales_jp,sales_others,sales_global,score,count_critic,developer,content_rating
E.T. The Extra-Terrestrial,GBA,2001,Action,NewKidCo,0.01,0,0,0,0.01,46,4,Fluid Studios,E
Spider-Man: Friend or Foe,PC,2007,Action,Activision,0.01,0,0,0,0.01,57,9,Beenox,E10+
Madagascar: Escape 2 Africa,PC,2008,Action,Activision,0.01,0,0,0,0.01,58,6,Aspyr,E10+
Super Dungeon Bros,PS4,2016,Action,Nordic Games,0.01,0,0,0,0.01,42,9,React Games,E10+
Worms: WMD,XOne,2016,Action,Sold Out,0.01,0,0,0,0.01,75,24,Team 17,E10+
Azure Striker Gunvolt,3DS,2016,Action,Yacht Club Games,0.01,0,0,0,0.01,77,20,Inti Creates,E10+
Prototype: Biohazard Bundle,XOne,2016,Action,Activision,0.01,0,0,0,0.01,56,4,Radical Entertainment,M
Final Fight: Streetwise,XB,2006,Action,Capcom,0.01,0,0,0,0.02,42,29,Secret Level,M
Darksiders: Warmastered Edition,XOne,2016,Action,Nordic Games,0.01,0,0,0,0.01,80,13,Nordic Games Publishing,M
Carmageddon: Max Damage,PS4,2016,Action,Stainless Games,0.01,0,0,0,0.01,51,28,Stainless Games,M
Darksiders,PS3,2010,Action,THQ,0.01,0,0,0,0.02,82,73,Vigil Games,M
Red Ninja: End of Honor,XB,2005,Action,Vivendi Games,0.01,0,0,0,0.02,46,25,Tranji,M
Blackthorne,GBA,2003,Action,Activision,0.01,0,0,0,0.01,67,10,Mass Media,T
Transformers: Fall of Cybertron,PC,2012,Action,Activision,0.01,0,0,0,0.01,78,13,"High Moon Studios, Mercenary Technologies",T
Aquaman: Battle for Atlantis,GC,2003,Action,TDK Mediactive,0.01,0,0,0,0.01,27,9,TDK Mediactive,T
Aeon Flux,XB,2005,Action,THQ,0.01,0,0,0,0.01,69,27,Terminal Reality,T
Charlie's Angels,GC,2003,Action,Ubisoft,0.01,0,0,0,0.02,23,21,Neko Entertainment,T
Headhunter: Redemption,XB,2004,Action,Sega,0.02,0,0,0,0.02,59,26,Amuze,M
Tom Clancy's Splinter Cell Classic Trilogy HD,PS3,2011,Action,Ubisoft,0.02,0,0,0,0.02,67,21,Ubisoft,M
ScrapLand,XB,2005,Action,Deep Silver,0.02,0,0,0,0.02,73,20,Mercury Steam,T
Rengoku II:The Stairway To H.E.A.V.E.N.,PSP,2006,Action,Konami Digital Entertainment,0.02,0,0,0,0.02,51,24,Neverland,T
Knight's Apprentice: Memorick's Adventures,XB,2004,Action,Microids,0.02,0,0,0,0.02,53,11,Microids,T
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0,0,0,0.03,57,11,Acquire,T
Marvel Avengers: Battle for Earth,X360,2012,Action,Ubisoft,0.02,0,0,0,0.02,62,11,Ubisoft Quebec,T
Turn It Around,DS,2006,Action,505 Games,0.03,0,0,0,0.03,39,11,"Taito Corporation, 505 Games",E
Song of the Deep,PC,2016,Action,Insomniac Games,0.03,0,0,0,0.03,73,12,Insomniac Games,E
Gravity Falls: Legend of the Gnome Gemulets,3DS,2015,Action,Ubisoft,0.03,0,0,0,0.04,46,4,Ubisoft Osaka,E
LEGO Pirates of the Caribbean: The Video Game,PC,2011,Action,Disney Interactive Studios,0.03,0,0,0,0.03,73,11,Traveller's Tales,E10+
Nacho Libre,DS,2006,Action,Majesco Entertainment,0.03,0,0,0,0.03,56,6,BudCat,E10+
Rodea the Sky Soldier,3DS,2015,Action,Nippon Ichi Software,0.03,0,0,0,0.04,45,7,"Prope, Kadokawa",E10+
Star Wars: The Force Unleashed II,PC,2010,Action,LucasArts,0.03,0,0,0,0.03,59,14,LucasArts,T
Bounty Hounds,PSP,2006,Action,Namco Bandai Games,0.03,0,0,0,0.03,63,14,Xpec,T
Fantastic Four: Rise of the Silver Surfer,DS,2007,Action,Take-Two Interactive,0.04,0,0,0,0.04,35,8,7 Studios,E10+
SPRay,Wii,2008,Action,Tecmo Koei,0.04,0,0,0,0.04,42,16,EKO Software,E10+
Barnyard,Wii,2006,Action,THQ,0.04,0,0,0,0.04,65,15,Blue Tongue Entertainment,E10+
Dead Head Fred,PSP,2007,Action,D3Publisher,0.04,0,0,0,0.04,75,30,Vicious Cycle,M
Dynasty Warriors Vol. 2,PSP,2006,Action,Tecmo Koei,0.04,0,0,0,0.05,57,28,Omega Force,T
Mercury Meltdown,PSP,2006,Action,Atari,0.05,0,0,0.01,0.06,78,36,Ignition Entertainment,E
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,DS,2005,Action,Konami Digital Entertainment,0.05,0,0,0,0.06,58,10,Konami,E
Coraline,Wii,2009,Action,D3Publisher,0.05,0,0,0,0.05,42,7,Papaya Studios,E10+
Aliens in the Attic,DS,2009,Action,Playlogic Game Factory,0.05,0,0,0,0.05,58,7,Engine Software,E10+
Scurge: Hive,DS,2006,Action,SouthPeak Games,0.05,0,0,0,0.06,70,29,"Orbital Media, Inc.",E10+
Gun Showdown,PSP,2006,Action,Activision,0.05,0,0,0.01,0.06,73,41,"Rebellion, Neversoft Entertainment",M
Vampire Rain: Altered Species,PS3,2008,Action,Ignition Entertainment,0.05,0,0,0,0.06,30,15,Artoon,M
DuckTales: Remastered,WiiU,2013,Action,Capcom,0.06,0,0,0.01,0.06,76,10,WayForward,E
Song of the Deep,PS4,2016,Action,Insomniac Games,0.06,0,0,0.01,0.08,69,41,Insomniac Games,E
Insecticide,DS,2008,Action,Gamecock,0.06,0,0,0,0.06,55,23,Creat Studios,E10+
Hammerin' Hero,PSP,2008,Action,Irem Software Engineering,0.06,0,0,0.01,0.07,73,19,Irem,E10+
TRON: Evolution,PC,2010,Action,Disney Interactive Studios,0.06,0,0,0,0.07,57,11,Propaganda Games,T
Warhammer: Battle For Atluma,PSP,2006,Action,Namco Bandai Games,0.06,0,0,0.01,0.07,55,8,Sabertooth Games,T
Tom Clancy's Splinter Cell: Chaos Theory,DS,2005,Action,Ubisoft,0.06,0,0,0.01,0.07,50,22,Gameloft,T
Superman Returns,DS,2006,Action,Electronic Arts,0.07,0,0,0.01,0.07,33,8,EA Tiburon,E
Ninjabread Man,Wii,2007,Action,Popcorn Arcade,0.07,0,0,0.01,0.08,20,6,Data Design Interactive,E
Tornado Outbreak,X360,2009,Action,Konami Digital Entertainment,0.07,0,0,0.01,0.08,62,12,Loose Cannon Studios,E10+
The Legend of Kage 2,DS,2008,Action,Square Enix,0.07,0,0,0,0.07,70,21,Taito Corporation,E10+
From Russia With Love,PSP,2006,Action,Electronic Arts,0.07,0,0,0.01,0.08,61,33,Rebellion,T
Tornado Outbreak,PS3,2009,Action,Konami Digital Entertainment,0.08,0,0,0.01,0.09,69,15,Loose Cannon Studios,E10+
Def Jam Fight For NY: The Takeover,PSP,2006,Action,Electronic Arts,0.08,0,0,0.01,0.09,79,25,Aki Corp.,M
Beowulf: The Game,PSP,2007,Action,Ubisoft,0.08,0,0,0.01,0.09,44,4,Virtuos,M
Viewtiful Joe: Red Hot Rumble,PSP,2006,Action,Capcom,0.08,0,0,0.01,0.09,63,24,Clover Studio,T
Power Stone Collection,PSP,2006,Action,Capcom,0.08,0,0,0.01,0.1,74,34,Capcom,T
Heatseeker,Wii,2007,Action,Codemasters,0.08,0,0,0.01,0.1,62,25,IR Gurus,T
Spider-Man: Web of Shadows,DS,2008,Action,Activision,0.09,0,0,0.01,0.1,77,12,Griptonite Games,E10+
MySims SkyHeroes,X360,2010,Action,Electronic Arts,0.09,0,0,0.01,0.1,56,15,Behaviour Interactive,E10+
Tornado Outbreak,Wii,2009,Action,Konami Digital Entertainment,0.09,0,0,0.01,0.1,71,7,Loose Cannon Studios,E10+
